DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,RIS,1,0.002095025079975004,1.1064320000018061e-10,0.0008943000000015863,0.001958310724782245,0.28846554944499037,0.0009069533395238511,0.0006777461877764369,186.80958773409085,20.087171867144193,207.19175748612273
AMM,S_Tree,RIS,2,0.0028389367332880256,7.592320000005105e-11,0.0005793149999997314,0.0019583107247811123,0.1447180946207144,0.0009069533395238511,0.0003589193523893492,94.24155111837156,13.037265036123742,107.43017668434193
AMM,S_Tree,RIS,4,0.004252177325508953,5.7212799999985236e-11,0.00041425449999948905,0.0019583107247808473,0.07235904731033617,0.0009069533395238511,0.0001890484923416295,47.708347845202695,9.346401092599121,57.13482872955152
AMM,S_Tree,RIS,8,0.007667158121508807,5.133439999998704e-11,0.000361586499999698,0.001958310724781002,0.0366648435537805,0.0009069533395238511,0.00010922955839318417,24.690931173990723,8.110868436092021,32.84946769193206
AMM,S_Tree,RIS,16,0.014503332428740896,4.8715199999987847e-11,0.00033395449999980764,0.001958310724781283,0.01881787274749286,0.0009069533395238511,6.383822039084389e-05,13.182426409597308,7.3358688021951,20.554879473802053
AMM,S_Tree,RIS,32,0.028373679105494837,4.753919999998821e-11,0.0003237024999998483,0.001958310724781228,0.009418782036030623,0.0009069533395238511,3.8248690958928444e-05,7.186390783596334,7.100729305268179,14.328139765308842
AMM,S_Tree,RWS,1,0.024976390544491987,2.254223999997284e-10,0.00015292750000007633,2.391600045620155,0.004560652045437605,0.011551108000138269,0.00019947264660197402,186.34807636714453,20.087171867144193,208.868288830871
AMM,S_Tree,RWS,2,0.029596926410857927,1.4891040000006093e-10,0.00012026850000004497,1.1960252066416357,0.004560652045437928,0.011551108000138269,0.00010770722421358363,93.70459117521901,13.037265036124136,107.98381808031435
AMM,S_Tree,RWS,4,0.037862436321564816,1.0884960000017392e-10,0.00010325700000002863,0.5980126893362916,0.004560652045437879,0.011551108000138269,5.8234223491887884e-05,47.20924578368434,9.34640109259474,57.207795253314856
AMM,S_Tree,RWS,8,0.061926739962217696,9.636320000012732e-11,9.928600000002481e-05,0.2992315284995527,0.004560652045437958,0.011551108000138269,3.493169010203599e-05,24.135175883682408,8.110868436093233,32.62344856606945
AMM,S_Tree,RWS,16,0.10657599134495564,8.929120000010093e-11,9.76085000000232e-05,0.14992023052374234,0.004560652045437803,0.011551108000138269,2.0537272828492945e-05,12.601805215294162,7.335868802195121,20.210400145265677
AMM,S_Tree,RWS,32,0.2032320544516496,8.70320000000925e-11,9.684400000002247e-05,0.07527381315056977,0.004560652045437988,0.011551108000138269,1.2509050975704172e-05,6.67537105969522,7.1007293052714715,14.070827345752495
AMM,S_Tree,ROS,1,0.008924979234333677,2.254223999997284e-10,0.0007748895000008831,1.6538095122356287,0.018161051765842536,0.002968889846521326,0.001362184559996587,187.83263365644225,20.087171867144193,209.6058070309542
AMM,S_Tree,ROS,2,0.01261637242359186,1.4891040000006093e-10,0.0005118794999993343,0.8274688030866482,0.01816105176588131,0.0029688898465209694,0.0006771072998022501,95.1891484648507,13.037265036124136,109.0888176050462
