DPU,CNNModel,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency,total_latency_post
AMM,MobileNet_V2,PCA,RIS,4,1.77E-08,8.63E-06,0.051832,0,0.007514308,0.110211133,0.002614321,2.21E-09,0.172180408,6.62E-02
AMM,MobileNet_V2,S_Tree,WS,32,1.39E-08,1.02E-05,0.027384,0.090857402,0.016770294,0.009647179,0.012376348,0.015588506,0.172633964,1.57E+01
AMM,MobileNet_V2,S_Tree,ROS,32,1.54E-08,1.13E-05,0.04526,0.074449766,0.02946443,0.018208677,0.006922617,2.82E-05,0.174345012,1.60E-01
AMM,MobileNet_V2,ST_Tree_Ac,RWS,16,1.47E-08,1.08E-05,0.036796,0.046048613,0.071576225,0.009647179,0.012376348,5.50E-05,0.176510109,1.58E-01
AMM,MobileNet_V2,STIFT,RWS,16,1.47E-08,1.08E-05,0.036796,0.046048613,0.071576225,0.009647179,0.012376348,5.50E-05,0.176510109,1.58E-01
AMM,MobileNet_V2,S_Tree,RWS,16,1.47E-08,1.08E-05,0.036796,0.046048613,0.071576225,0.009647179,0.012376348,8.29E-05,0.176538061,1.86E-01
AMM,MobileNet_V2,ST_Tree_Ac,RIS,4,1.77E-08,8.63E-06,0.051832,0.007259634,0.007514308,0.110211133,0.002614321,5.32E-05,0.179493239,1.27E-01
AMM,MobileNet_V2,STIFT,RIS,4,1.77E-08,8.63E-06,0.051832,0.007259634,0.007514308,0.110211133,0.002614321,5.32E-05,0.179493239,1.27E-01
AMM,MobileNet_V2,S_Tree,RIS,4,1.77E-08,8.63E-06,0.051832,0.007259634,0.007514308,0.110211133,0.002614321,0.000145957,0.179585997,2.19E-01
AMM,MobileNet_V2,S_Tree,OS,32,1.39E-08,1.02E-05,0.040884,0.070936387,0.015573761,0.030669788,0.006922617,0.015588506,0.180585294,1.57E+01
AMM,MobileNet_V2,PCA,ROS,8,1.62E-08,1.19E-06,0.04758,0,0.113570099,0.018208677,0.006922617,2.68E-09,0.186282602,6.77E-02
AMM,MobileNet_V2,ST_Tree_Ac,ROS,8,1.62E-08,1.19E-05,0.04758,0,0.113570099,0.018208677,0.006922617,2.53E-05,0.186318623,9.30E-02
AMM,MobileNet_V2,STIFT,ROS,8,1.62E-08,1.19E-05,0.04758,0,0.113570099,0.018208677,0.006922617,2.53E-05,0.186318623,9.30E-02
AMM,MobileNet_V2,ST_Tree_Ac,RWS,32,1.54E-08,1.13E-05,0.039056,0.093036285,0.036201018,0.009647179,0.012376348,5.49E-05,0.190383042,2.04E-01
AMM,MobileNet_V2,STIFT,RWS,32,1.54E-08,1.13E-05,0.039056,0.093036285,0.036201018,0.009647179,0.012376348,5.49E-05,0.190383042,2.04E-01
AMM,MobileNet_V2,S_Tree,RWS,32,1.54E-08,1.13E-05,0.039056,0.093036285,0.036201018,0.009647179,0.012376348,7.12E-05,0.190399335,2.20E-01
AMM,MobileNet_V2,PCA,RWS,8,1.62E-08,1.19E-05,0.03802,0,0.142162594,0.009647179,0.012376348,1.10E-09,0.202218033,6.56E-02
AMM,MobileNet_V2,S_Tree,ROS,8,1.62E-08,1.19E-05,0.04758,0.023260974,0.113570099,0.018208677,0.006922617,0.000121998,0.209676277,2.13E-01
AMM,MobileNet_V2,ST_Tree_Ac,RWS,8,1.62E-08,1.19E-05,0.03802,0.033019555,0.142162594,0.009647179,0.012376348,5.76E-05,0.235295208,1.56E-01
AMM,MobileNet_V2,STIFT,RWS,8,1.62E-08,1.19E-05,0.03802,0.033019555,0.142162594,0.009647179,0.012376348,5.76E-05,0.235295208,1.56E-01
AMM,MobileNet_V2,S_Tree,RWS,8,1.62E-08,1.19E-05,0.03802,0.033019555,0.142162594,0.009647179,0.012376348,0.000108917,0.235346505,2.08E-01
AMM,MobileNet_V2,PCA,ROS,4,1.92E-08,1.41E-06,0.05636,0,0.224722227,0.018208677,0.006922617,5.34E-09,0.306214955,8.76E-02
AMM,MobileNet_V2,ST_Tree_Ac,ROS,4,1.92E-08,1.41E-05,0.05636,0,0.224722227,0.018208677,0.006922617,4.54E-05,0.306273053,1.33E-01
AMM,MobileNet_V2,STIFT,ROS,4,1.92E-08,1.41E-05,0.05636,0,0.224722227,0.018208677,0.006922617,4.54E-05,0.306273053,1.33E-01
AMM,MobileNet_V2,PCA,RIS,2,2.68E-08,1.12E-05,0.078544,0,0.007514308,0.220422266,0.002614321,4.43E-09,0.309106162,1.04E-01
AMM,MobileNet_V2,ST_Tree_Ac,RIS,2,2.68E-08,1.12E-05,0.078544,0.006201981,0.007514308,0.220422266,0.002614321,6.95E-05,0.315377649,1.80E-01
AMM,MobileNet_V2,STIFT,RIS,2,2.68E-08,1.12E-05,0.078544,0.006201981,0.007514308,0.220422266,0.002614321,6.95E-05,0.315377649,1.80E-01
AMM,MobileNet_V2,S_Tree,RIS,2,2.68E-08,1.12E-05,0.078544,0.006201981,0.007514308,0.220422266,0.002614321,0.000251452,0.315559591,3.62E-01
AMM,MobileNet_V2,S_Tree,ROS,4,1.92E-08,1.41E-05,0.05636,0.016726788,0.224722227,0.018208677,0.006922617,0.000250529,0.323204948,3.55E-01
AMM,MobileNet_V2,PCA,RWS,4,1.92E-08,1.41E-05,0.03992,0,0.282865786,0.009647179,0.012376348,2.21E-09,0.344823424,8.16E-02
AMM,MobileNet_V2,ST_Tree_Ac,RWS,4,1.92E-08,1.41E-05,0.03992,0.026542196,0.282865786,0.009647179,0.012376348,6.20E-05,0.371427634,1.70E-01
AMM,MobileNet_V2,STIFT,RWS,4,1.92E-08,1.41E-05,0.03992,0.026542196,0.282865786,0.009647179,0.012376348,6.20E-05,0.371427634,1.70E-01
AMM,MobileNet_V2,S_Tree,RWS,4,1.92E-08,1.41E-05,0.03992,0.026542196,0.282865786,0.009647179,0.012376348,0.000155649,0.371521267,2.64E-01
AMM,MobileNet_V2,PCA,ROS,2,2.81E-08,2.06E-06,0.082396,0,0.449443345,0.018208677,0.006922617,1.07E-08,0.556972738,1.36E-01
AMM,MobileNet_V2,ST_Tree_Ac,ROS,2,2.81E-08,2.06E-05,0.082396,0,0.449443345,0.018208677,0.006922617,8.84E-05,0.557079641,2.24E-01
AMM,MobileNet_V2,STIFT,ROS,2,2.81E-08,2.06E-05,0.082396,0,0.449443345,0.018208677,0.006922617,8.84E-05,0.557079641,2.24E-01
AMM,MobileNet_V2,S_Tree,ROS,2,2.81E-08,2.06E-05,0.082396,0.015223923,0.449443345,0.018208677,0.006922617,0.000500448,0.572715637,6.52E-01
AMM,MobileNet_V2,PCA,RIS,1,4.45E-08,1.61E-05,0.130608,0,0.007514308,0.436990109,0.002614321,8.85E-09,0.577742932,1.78E-01
AMM,MobileNet_V2,ST_Tree_Ac,RIS,1,4.45E-08,1.61E-05,0.130608,0,0.007514308,0.436990109,0.002614321,0.000100875,0.577843798,2.79E-01
AMM,MobileNet_V2,STIFT,RIS,1,4.45E-08,1.61E-05,0.130608,0,0.007514308,0.436990109,0.002614321,0.000100875,0.577843798,2.79E-01
AMM,MobileNet_V2,S_Tree,RIS,1,4.45E-08,1.61E-05,0.130608,0.005645852,0.007514308,0.436990109,0.002614321,0.000457302,0.583846077,6.41E-01
AMM,MobileNet_V2,PCA,RWS,2,2.81E-08,2.06E-05,0.050284,0,0.565730462,0.009647179,0.012376348,4.42E-09,0.63805862,1.20E-01
AMM,MobileNet_V2,ST_Tree_Ac,RWS,2,2.81E-08,2.06E-05,0.050284,0.025604118,0.565730462,0.009647179,0.012376348,7.82E-05,0.663740944,2.24E-01
AMM,MobileNet_V2,STIFT,RWS,2,2.81E-08,2.06E-05,0.050284,0.025604118,0.565730462,0.009647179,0.012376348,7.82E-05,0.663740944,2.24E-01
AMM,MobileNet_V2,S_Tree,RWS,2,2.81E-08,2.06E-05,0.050284,0.025604118,0.565730462,0.009647179,0.012376348,0.000261408,0.663924142,4.07E-01
AMM,MobileNet_V2,PCA,ROS,1,4.54E-08,3.33E-06,0.133164,0,0.896468719,0.018208677,0.006922617,2.13E-08,1.054767409,2.32E-01
AMM,MobileNet_V2,ST_Tree_Ac,ROS,1,4.54E-08,3.33E-05,0.133164,0,0.896468719,0.018208677,0.006922617,0.000173593,1.054970943,4.05E-01
AMM,MobileNet_V2,STIFT,ROS,1,4.54E-08,3.33E-05,0.133164,0,0.896468719,0.018208677,0.006922617,0.000173593,1.054970943,4.05E-01
AMM,MobileNet_V2,S_Tree,ROS,1,4.54E-08,3.33E-05,0.133164,0.014438255,0.896468719,0.018208677,0.006922617,0.001006368,1.070241972,1.25E+00
AMM,MobileNet_V2,PCA,RWS,1,4.54E-08,3.33E-05,0.069756,0,1.130001522,0.009647179,0.012376348,8.83E-09,1.221814394,1.96E-01
AMM,MobileNet_V2,ST_Tree_Ac,RWS,1,4.54E-08,3.33E-05,0.069756,0,1.130001522,0.009647179,0.012376348,0.000108994,1.221923379,3.05E-01
AMM,MobileNet_V2,STIFT,RWS,1,4.54E-08,3.33E-05,0.069756,0,1.130001522,0.009647179,0.012376348,0.000108994,1.221923379,3.05E-01
AMM,MobileNet_V2,S_Tree,RWS,1,4.54E-08,3.33E-05,0.069756,0.025113923,1.130001522,0.009647179,0.012376348,0.000466954,1.247395262,6.88E-01
